number,desc,abbr
28,Blue Ash College,Blue Ash
22,Carl H. Lindner College of Business,CoB
34,Clermont College,Clermont
35,College of Allied Health Sciences,CAHS
23,"College of Design, Architecture, Art and Planning",DAAP
18,"College of Education, Criminal Justice, and Human Services",CECH
20,College of Engineering and Applied Science,CEAS
26,College of Medicine,Med
29,College of Nursing,Nursing
16,College-Conservatory of Music,CCM
36,Division of Professional Practice & Experiential Learning,DPP
25,James L. Winkle College of Pharmacy,Pharm
15,McMicken College of Arts and Sciences,McMicken
38,University Honors Program,Honors
99,University of Cincinnati,UC
